,Protein,ENSG,UniProt,Source,Score,disease_id
87,SCN9A,ENSG00000169432,Q15858,uniprot_swissprot,0.4701877040155372,MONDO_0004975
88,SCN11A,ENSG00000168356,Q9UI33,uniprot_swissprot,0.4701877040155372,MONDO_0004975
89,HSD17B12,ENSG00000149084,Q53GQ0,uniprot_swissprot,0.46835592893935146,MONDO_0004975
90,NDUFB9,ENSG00000147684,Q9Y6M9,uniprot_swissprot,0.46816661511913565,MONDO_0004975
91,TP53,ENSG00000141510,P04637,uniprot_swissprot,0.46660253959160786,MONDO_0004975
92,AP2M1,ENSG00000161203,Q96CW1,uniprot_swissprot,0.46581364590193963,MONDO_0004975
93,NDUFS8,ENSG00000110717,O00217,uniprot_swissprot,0.46513396435907023,MONDO_0004975
94,MTOR,ENSG00000198793,P42345,uniprot_swissprot,0.4649314571933549,MONDO_0004975
95,NDUFC2,ENSG00000151366,O95298,uniprot_swissprot,0.46485266982471946,MONDO_0004975
96,COPG1,ENSG00000181789,Q9Y678,uniprot_swissprot,0.46449941834322844,MONDO_0004975
97,PTPN1,ENSG00000196396,P18031,uniprot_swissprot,0.4643770874113278,MONDO_0004975
98,BMP2K,ENSG00000138756,Q9NSY1,uniprot_swissprot,0.46410074254090683,MONDO_0004975
99,NAGPA,ENSG00000103174,Q9UK23,uniprot_swissprot,0.4638903158507464,MONDO_0004975
100,CLTC,ENSG00000141367,Q00610,uniprot_swissprot,0.46380269366874743,MONDO_0004975
101,SCD,ENSG00000099194,O00767,uniprot_swissprot,0.4637268641342689,MONDO_0004975
102,SF3B1,ENSG00000115524,O75533,uniprot_swissprot,0.46322038665797466,MONDO_0004975
103,PPP1R10,ENSG00000204569,Q96QC0,uniprot_swissprot,0.4629807551597231,MONDO_0004975
104,NDUFA5,ENSG00000128609,Q16718,uniprot_swissprot,0.4627314105893988,MONDO_0004975
105,COPZ1,ENSG00000111481,P61923,uniprot_swissprot,0.462619578620024,MONDO_0004975
106,PXK,ENSG00000168297,Q7Z7A4,uniprot_swissprot,0.462590500523488,MONDO_0004975
107,NUP93,ENSG00000102900,Q8N1F7,uniprot_swissprot,0.46237481203932757,MONDO_0004975
108,FCF1,ENSG00000119616,Q9Y324,uniprot_swissprot,0.4619748183558772,MONDO_0004975
109,SNRPD3,ENSG00000100028,P62318,uniprot_swissprot,0.4619748183558772,MONDO_0004975
110,COPB1,ENSG00000129083,P53618,uniprot_swissprot,0.4619748183558772,MONDO_0004975
111,KIF18B,ENSG00000186185,Q86Y91,uniprot_swissprot,0.4619748183558772,MONDO_0004975
112,OGG1,ENSG00000114026,O15527,uniprot_swissprot,0.4619748183558772,MONDO_0004975
113,DSTYK,ENSG00000133059,Q6XUX3,uniprot_swissprot,0.4619748183558772,MONDO_0004975
114,BMS1,ENSG00000165733,Q14692,uniprot_swissprot,0.4619748183558772,MONDO_0004975
115,MTMR14,ENSG00000163719,Q8NCE2,uniprot_swissprot,0.4619748183558772,MONDO_0004975
116,LTV1,ENSG00000135521,Q96GA3,uniprot_swissprot,0.4619748183558772,MONDO_0004975
117,MED1,ENSG00000125686,Q15648,uniprot_swissprot,0.4619748183558772,MONDO_0004975
118,COPA,ENSG00000122218,P53621,uniprot_swissprot,0.4619748183558772,MONDO_0004975
119,SEC13,ENSG00000157020,P55735,uniprot_swissprot,0.4619748183558772,MONDO_0004975
120,SUPT6H,ENSG00000109111,Q7KZ85,uniprot_swissprot,0.4619748183558772,MONDO_0004975
121,SNX3,ENSG00000112335,O60493,uniprot_swissprot,0.4619748183558772,MONDO_0004975
122,TGFBR2,ENSG00000163513,P37173,uniprot_swissprot,0.4619748183558772,MONDO_0004975
123,IMP3,ENSG00000177971,Q9NV31,uniprot_swissprot,0.4619748183558772,MONDO_0004975
124,NUP205,ENSG00000155561,Q92621,uniprot_swissprot,0.4619748183558772,MONDO_0004975
125,DHX37,ENSG00000150990,Q8IY37,uniprot_swissprot,0.4619748183558772,MONDO_0004975
126,NDUFA6,ENSG00000184983,P56556,uniprot_swissprot,0.4619748183558772,MONDO_0004975
127,PPAN,ENSG00000130810,Q9NQ55,uniprot_swissprot,0.4619748183558772,MONDO_0004975
128,NOP16,ENSG00000048162,Q9Y3C1,uniprot_swissprot,0.4619748183558772,MONDO_0004975
129,TNPO3,ENSG00000064419,Q9Y5L0,uniprot_swissprot,0.4619748183558772,MONDO_0004975
130,MCM10,ENSG00000065328,Q7L590,uniprot_swissprot,0.4619748183558772,MONDO_0004975
131,MDN1,ENSG00000112159,Q9NU22,uniprot_swissprot,0.4619748183558772,MONDO_0004975
132,SON,ENSG00000159140,P18583,uniprot_swissprot,0.4619748183558772,MONDO_0004975
133,HEATR1,ENSG00000119285,Q9H583,uniprot_swissprot,0.4619748183558772,MONDO_0004975
134,PPP1R15B,ENSG00000158615,Q5SWA1,uniprot_swissprot,0.4619748183558772,MONDO_0004975
135,PLRG1,ENSG00000171566,O43660,uniprot_swissprot,0.4619748183558772,MONDO_0004975
136,ZNF207,ENSG00000010244,O43670,uniprot_swissprot,0.4619748183558772,MONDO_0004975
137,FADS2,ENSG00000134824,O95864,uniprot_swissprot,0.4619748183558772,MONDO_0004975
138,SNRPE,ENSG00000182004,P62304,uniprot_swissprot,0.4619748183558772,MONDO_0004975
139,GM2A,ENSG00000196743,P17900,uniprot_swissprot,0.4619748183558772,MONDO_0004975
140,COPB2,ENSG00000184432,P35606,uniprot_swissprot,0.4619748183558772,MONDO_0004975
