,Protein,ENSG,UniProt,Source,Score
336,PDE6C,ENSG00000095464,P51160,uniprot_swissprot,0.3695798546847018
337,S1PR4,ENSG00000125910,O95977,uniprot_swissprot,0.3695798546847018
338,PDE1B,ENSG00000123360,Q01064,uniprot_swissprot,0.3695798546847018
339,PABPC4,ENSG00000090621,Q13310,uniprot_swissprot,0.3692791476272004
340,PCDH17,ENSG00000118946,O14917,uniprot_swissprot,0.36784071764202164
341,TENT5C,ENSG00000183508,Q5VWP2,uniprot_swissprot,0.3676258340271609
342,HDAC9,ENSG00000048052,Q9UKV0,uniprot_swissprot,0.3661702481816909
343,CEBPB,ENSG00000172216,P17676,uniprot_swissprot,0.36532855891671273
344,LEP,ENSG00000174697,P41159,uniprot_swissprot,0.3651125098277675
345,TMEM106B,ENSG00000106460,Q9NUM4,uniprot_swissprot,0.3651077360787881
346,TMEM87B,ENSG00000153214,Q96K49,uniprot_swissprot,0.3638059900234326
347,TM4SF4,ENSG00000169903,P48230,uniprot_swissprot,0.36328811237324643
348,TM6SF2,ENSG00000213996,Q9BZW4,uniprot_swissprot,0.36326259107329645
349,LONRF1,ENSG00000154359,Q17RB8,uniprot_swissprot,0.36293793903310273
350,CRTC1,ENSG00000105662,Q6UUV9,uniprot_swissprot,0.36287032741173336
351,DMRTA1,ENSG00000176399,Q5VZB9,uniprot_swissprot,0.3600233295822291
352,NMI,ENSG00000123609,Q13287,uniprot_swissprot,0.3600160373771995
353,GABRG3,ENSG00000182256,Q99928,uniprot_swissprot,0.3599917199380496
354,ERBB4,ENSG00000178568,Q15303,uniprot_swissprot,0.35985891602471093
355,GABRA2,ENSG00000151834,P47869,uniprot_swissprot,0.3598183399632328
356,ROBO2,ENSG00000185008,Q9HCK4,uniprot_swissprot,0.3593452437214805
357,DCBLD1,ENSG00000164465,Q8N8Z6,uniprot_swissprot,0.35918268369929407
358,GABRA1,ENSG00000022355,P14867,uniprot_swissprot,0.3590677703013379
359,GABRA3,ENSG00000011677,P34903,uniprot_swissprot,0.3590677703013379
360,GABRG2,ENSG00000113327,P18507,uniprot_swissprot,0.3590677703013379
361,GABRG1,ENSG00000163285,Q8N1C3,uniprot_swissprot,0.3590677703013379
362,GABRA5,ENSG00000186297,P31644,uniprot_swissprot,0.3590677703013379
363,TRPS1,ENSG00000104447,Q9UHF7,uniprot_swissprot,0.3580035982268022
364,XKR6,ENSG00000171044,Q5GH73,uniprot_swissprot,0.3571233086975094
365,SUGCT,ENSG00000175600,Q9HAC7,uniprot_swissprot,0.3570482310721572
366,IL13RA1,ENSG00000131724,P78552,uniprot_swissprot,0.3566140806927569
367,VEGFA,ENSG00000112715,P15692,uniprot_swissprot,0.35538403305524774
368,GRIA1,ENSG00000155511,P42261,uniprot_swissprot,0.35536129638641534
369,GPC5,ENSG00000179399,P78333,uniprot_swissprot,0.35520218199199755
370,SMARCAD1,ENSG00000163104,Q9H4L7,uniprot_swissprot,0.354271723292868
371,GRIK3,ENSG00000163873,Q13003,uniprot_swissprot,0.35397537193134765
372,ARPP21,ENSG00000172995,Q9UBL0,uniprot_swissprot,0.35360020908986695
373,HEY2,ENSG00000135547,Q9UBP5,uniprot_swissprot,0.35333604671498814
374,SCN8A,ENSG00000196876,Q9UQD0,uniprot_swissprot,0.35323621222197826
375,CA2,ENSG00000104267,P00918,uniprot_swissprot,0.35323621222197826
376,GRIK4,ENSG00000149403,Q16099,uniprot_swissprot,0.3531438172583071
377,NFAT5,ENSG00000102908,O94916,uniprot_swissprot,0.3527435061320063
378,GRIK1,ENSG00000171189,P39086,uniprot_swissprot,0.3526818424399512
379,CCDC92,ENSG00000119242,Q53HC0,uniprot_swissprot,0.3525544093117049
380,GABRB2,ENSG00000145864,P47870,uniprot_swissprot,0.3524970525126089
381,SCN9A,ENSG00000169432,Q15858,uniprot_swissprot,0.3524970525126089
382,GABRA6,ENSG00000145863,Q16445,uniprot_swissprot,0.3521274726579242
383,GABRP,ENSG00000094755,O00591,uniprot_swissprot,0.3521274726579242
384,CA4,ENSG00000167434,P22748,uniprot_swissprot,0.3521274726579242
385,GRIK2,ENSG00000164418,Q13002,uniprot_swissprot,0.3521274726579242
386,GABRE,ENSG00000102287,P78334,uniprot_swissprot,0.3521274726579242
387,GABRQ,ENSG00000268089,Q9UN88,uniprot_swissprot,0.3521274726579242
388,GABRB3,ENSG00000166206,P28472,uniprot_swissprot,0.3521274726579242
389,SCN7A,ENSG00000136546,Q01118,uniprot_swissprot,0.3521274726579242
390,GABRB1,ENSG00000163288,P18505,uniprot_swissprot,0.3521274726579242
391,SCN10A,ENSG00000185313,Q9Y5Y9,uniprot_swissprot,0.3521274726579242
392,GABRA4,ENSG00000109158,P48169,uniprot_swissprot,0.3521274726579242
393,GRIA3,ENSG00000125675,P42263,uniprot_swissprot,0.3521274726579242
394,GRIA4,ENSG00000152578,P48058,uniprot_swissprot,0.3521274726579242
395,SCN11A,ENSG00000168356,Q9UI33,uniprot_swissprot,0.3521274726579242
396,SCN2A,ENSG00000136531,Q99250,uniprot_swissprot,0.3521274726579242
397,SCN1A,ENSG00000144285,P35498,uniprot_swissprot,0.3521274726579242
398,GRIA2,ENSG00000120251,P42262,uniprot_swissprot,0.3521274726579242
399,GABRD,ENSG00000187730,O14764,uniprot_swissprot,0.3521274726579242
400,GRIK5,ENSG00000105737,Q16478,uniprot_swissprot,0.3521274726579242
401,CITED2,ENSG00000164442,Q99967,uniprot_swissprot,0.3521087973868479
402,FOXA2,ENSG00000125798,Q9Y261,uniprot_swissprot,0.35134207639977594
403,SLC39A11,ENSG00000133195,Q8N1S5,uniprot_swissprot,0.35130514597836565
404,BPTF,ENSG00000171634,Q12830,uniprot_swissprot,0.35125823224147434
405,IL13,ENSG00000169194,P35225,uniprot_swissprot,0.35109977210289256
406,AOPEP,ENSG00000148120,Q8N6M6,uniprot_swissprot,0.3509886962062381
407,CAST,ENSG00000153113,P20810,uniprot_swissprot,0.35059307076977475
408,CCDC9B,ENSG00000188549,Q6ZUT6,uniprot_swissprot,0.3504357463388778
409,PLEKHM3,ENSG00000178385,Q6ZWE6,uniprot_swissprot,0.35010571210848146
410,AOC1,ENSG00000002726,P19801,uniprot_swissprot,0.34828955538988776
411,BAK1,ENSG00000030110,Q16611,uniprot_swissprot,0.34827656932742895
412,GRP,ENSG00000134443,P07492,uniprot_swissprot,0.34744024154941616
413,LDHB,ENSG00000111716,P07195,uniprot_swissprot,0.3467872014703224
414,TFRC,ENSG00000072274,P02786,uniprot_swissprot,0.34653781008712486
415,VLDLR,ENSG00000147852,P98155,uniprot_swissprot,0.3459221011477077
416,BBIP1,ENSG00000214413,A8MTZ0,uniprot_swissprot,0.345807302462531
417,PML,ENSG00000140464,P29590,uniprot_swissprot,0.3446156866945722
418,GINS2,ENSG00000131153,Q9Y248,uniprot_swissprot,0.3444973488896594
419,SLIT2,ENSG00000145147,O94813,uniprot_swissprot,0.3442654227284556
420,ZZEF1,ENSG00000074755,O43149,uniprot_swissprot,0.3441253442577412
421,TBC1D4,ENSG00000136111,O60343,uniprot_swissprot,0.3437155924891978
422,SIDT1,ENSG00000072858,Q9NXL6,uniprot_swissprot,0.3436257622968388
423,SLC39A8,ENSG00000138821,Q9C0K1,uniprot_swissprot,0.34255644837934507
424,ZBTB20,ENSG00000181722,Q9HC78,uniprot_swissprot,0.3422018749617088
425,TNFAIP3,ENSG00000118503,P21580,uniprot_swissprot,0.3409151618469079
426,RUNX3,ENSG00000020633,Q13761,uniprot_swissprot,0.34050115595069835
427,ZC3H11B,ENSG00000215817,A0A1B0GTU1,uniprot_swissprot,0.3403096494580287
428,REL,ENSG00000162924,Q04864,uniprot_swissprot,0.340108608822234
429,SLCO4A1,ENSG00000101187,Q96BD0,uniprot_swissprot,0.3398972032905434
430,IL12B,ENSG00000113302,P29460,uniprot_swissprot,0.33929572417625353
431,KCNH7,ENSG00000184611,Q9NS40,uniprot_swissprot,0.33919921276072174
432,UBASH3A,ENSG00000160185,P57075,uniprot_swissprot,0.3383187789009209
433,PDZRN4,ENSG00000165966,Q6ZMN7,uniprot_swissprot,0.3382954009685641
434,SPRY2,ENSG00000136158,O43597,uniprot_swissprot,0.338140114630678
435,EPC2,ENSG00000135999,Q52LR7,uniprot_swissprot,0.3381078869249767
436,EMB,ENSG00000170571,Q6PCB8,uniprot_swissprot,0.33786472905477616
437,APIP,ENSG00000149089,Q96GX9,uniprot_swissprot,0.3373538843439255
438,HHIP,ENSG00000164161,Q96QV1,uniprot_swissprot,0.3373163529432105
439,CEP68,ENSG00000011523,Q76N32,uniprot_swissprot,0.3372750346381557
440,TMEM161B,ENSG00000164180,Q8NDZ6,uniprot_swissprot,0.3369057199982427
441,DLK1,ENSG00000185559,P80370,uniprot_swissprot,0.3366613836784033
442,CEP120,ENSG00000168944,Q8N960,uniprot_swissprot,0.33597861758257147
443,PLXND1,ENSG00000004399,Q9Y4D7,uniprot_swissprot,0.3355521502974607
444,SHROOM3,ENSG00000138771,Q8TF72,uniprot_swissprot,0.3354287102375473
445,OSMR,ENSG00000145623,Q99650,uniprot_swissprot,0.33507310629336157
446,KCNK16,ENSG00000095981,Q96T55,uniprot_swissprot,0.3350603305155417
447,ASCL2,ENSG00000183734,Q99929,uniprot_swissprot,0.3350543240535965
448,FOXP1,ENSG00000114861,Q9H334,uniprot_swissprot,0.3340455650083528
449,ATP4A,ENSG00000105675,P20648,uniprot_swissprot,0.3339051326005535
450,ENPP3,ENSG00000154269,O14638,uniprot_swissprot,0.3328673575102796
451,IL20RA,ENSG00000016402,Q9UHF4,uniprot_swissprot,0.33285470324752536
452,PLCL2,ENSG00000154822,Q9UPR0,uniprot_swissprot,0.33284759926160623
453,ADRA1B,ENSG00000170214,P35368,uniprot_swissprot,0.33238349020995994
454,FFAR1,ENSG00000126266,O14842,uniprot_swissprot,0.332302777483876
455,TH,ENSG00000180176,P07101,uniprot_swissprot,0.3314959333032527
456,TP53INP1,ENSG00000164938,Q96A56,uniprot_swissprot,0.33140704286570705
457,GUCY1B1,ENSG00000061918,Q02153,uniprot_swissprot,0.33125652306909376
458,LPP,ENSG00000145012,Q93052,uniprot_swissprot,0.3311580047337574
459,PTPN22,ENSG00000134242,Q9Y2R2,uniprot_swissprot,0.33110038964330246
460,MAP3K1,ENSG00000095015,Q13233,uniprot_swissprot,0.33088030135228025
461,SGCZ,ENSG00000185053,Q96LD1,uniprot_swissprot,0.3308171170698269
462,SREBF1,ENSG00000072310,P36956,uniprot_swissprot,0.3303101198930447
463,LINGO1,ENSG00000169783,Q96FE5,uniprot_swissprot,0.33028520286263574
464,BACH2,ENSG00000112182,Q9BYV9,uniprot_swissprot,0.33019346405244254
465,SETBP1,ENSG00000152217,Q9Y6X0,uniprot_swissprot,0.3300303849367835
466,TMC1,ENSG00000165091,Q8TDI8,uniprot_swissprot,0.3298011683027222
467,NPC1,ENSG00000141458,O15118,uniprot_swissprot,0.32955688573984426
468,GLP2R,ENSG00000065325,O95838,uniprot_swissprot,0.32928890870408895
469,PRIM1,ENSG00000198056,P49642,uniprot_swissprot,0.3287787932813154
470,TSKU,ENSG00000182704,Q8WUA8,uniprot_swissprot,0.3276683939740144
471,METAP2,ENSG00000111142,P50579,uniprot_swissprot,0.3276192671531171
472,IKZF2,ENSG00000030419,Q9UKS7,uniprot_swissprot,0.32745196145930894
473,STARD10,ENSG00000214530,Q9Y365,uniprot_swissprot,0.3272473353011455
474,SERPINC1,ENSG00000117601,P01008,uniprot_swissprot,0.3270464654773092
475,RBPJ,ENSG00000168214,Q06330,uniprot_swissprot,0.32662545702521123
476,FBRSL1,ENSG00000112787,Q9HCM7,uniprot_swissprot,0.32650619481636844
477,ARID5B,ENSG00000150347,Q14865,uniprot_swissprot,0.3263183638121033
478,PENK,ENSG00000181195,P01210,uniprot_swissprot,0.3259789372055814
479,ADRA1D,ENSG00000171873,P25100,uniprot_swissprot,0.32577488596015797
480,C12orf43,ENSG00000157895,Q96C57,uniprot_swissprot,0.32566889652877246
481,SLC22A2,ENSG00000112499,O15244,uniprot_swissprot,0.32546007336197347
482,OPTC,ENSG00000188770,Q9UBM4,uniprot_swissprot,0.3246128275555493
483,PIM3,ENSG00000198355,Q86V86,uniprot_swissprot,0.3239942240782762
484,ADRA1A,ENSG00000120907,P35348,uniprot_swissprot,0.3233823728491141
485,DEUP1,ENSG00000165325,Q05D60,uniprot_swissprot,0.3233149182897565
486,MOB1B,ENSG00000173542,Q7L9L4,uniprot_swissprot,0.3229912981138039
487,CDH7,ENSG00000081138,Q9ULB5,uniprot_swissprot,0.32286406013257773
488,PTCH1,ENSG00000185920,Q13635,uniprot_swissprot,0.32213927263631875
489,KIF3C,ENSG00000084731,O14782,uniprot_swissprot,0.32181519226284333
490,IFNLR1,ENSG00000185436,Q8IU57,uniprot_swissprot,0.32095968585449464
491,C3orf70,ENSG00000187068,A6NLC5,uniprot_swissprot,0.3208378680254406
492,PEPD,ENSG00000124299,P12955,uniprot_swissprot,0.320120844102765
493,ZFHX3,ENSG00000140836,Q15911,uniprot_swissprot,0.3192767580380511
494,ORAI2,ENSG00000160991,Q96SN7,uniprot_swissprot,0.3189586610347953
495,KLLN,ENSG00000227268,B2CW77,uniprot_swissprot,0.31877344442821803
496,RFLNA,ENSG00000178882,Q6ZTI6,uniprot_swissprot,0.3186606186205486
497,PSMD6,ENSG00000163636,Q15008,uniprot_swissprot,0.3185729380225213
498,NDUFAF6,ENSG00000156170,Q330K2,uniprot_swissprot,0.31771478945079984
499,MTMR3,ENSG00000100330,Q13615,uniprot_swissprot,0.3172715903412331
500,TTN,ENSG00000155657,Q8WZ42,uniprot_swissprot,0.3170335815777074
501,OCIAD2,ENSG00000145247,Q56VL3,uniprot_swissprot,0.3163175906035134
502,NHSL1,ENSG00000135540,Q5SYE7,uniprot_swissprot,0.31587746729548577
503,BMAL1,ENSG00000133794,O00327,uniprot_swissprot,0.31553754692666836
504,CTSH,ENSG00000103811,P09668,uniprot_swissprot,0.31484846378429343
505,VWA5B1,ENSG00000158816,Q5TIE3,uniprot_swissprot,0.31457928437846594
506,KCNQ3,ENSG00000184156,O43525,uniprot_swissprot,0.314544798486259
507,MYEOV,ENSG00000172927,Q96EZ4,uniprot_swissprot,0.31373114731119905
508,DCAF12,ENSG00000198876,Q5T6F0,uniprot_swissprot,0.3136379215721168
509,ZNF800,ENSG00000048405,Q2TB10,uniprot_swissprot,0.3134356748846707
510,FAM234A,ENSG00000167930,Q9H0X4,uniprot_swissprot,0.3134137893920503
511,SETD9,ENSG00000155542,Q8NE22,uniprot_swissprot,0.3132930847247984
512,KCNJ12,ENSG00000184185,Q14500,uniprot_swissprot,0.3132215359216648
513,OTULIN,ENSG00000154124,Q96BN8,uniprot_swissprot,0.31319840445412916
514,ETAA1,ENSG00000143971,Q9NY74,uniprot_swissprot,0.3128322671888707
515,ARG1,ENSG00000118520,P05089,uniprot_swissprot,0.31247769971350386
516,POC5,ENSG00000152359,Q8NA72,uniprot_swissprot,0.31218289047736436
517,RDH14,ENSG00000240857,Q9HBH5,uniprot_swissprot,0.3114825261557791
518,HSD17B12,ENSG00000149084,Q53GQ0,uniprot_swissprot,0.31120461014500395
519,HMGB1,ENSG00000189403,P09429,uniprot_swissprot,0.31115028134207884
520,ADAMTSL3,ENSG00000156218,P82987,uniprot_swissprot,0.31067771887731205
521,ERAP1,ENSG00000164307,Q9NZ08,uniprot_swissprot,0.3102601397823424
522,TCF12,ENSG00000140262,Q99081,uniprot_swissprot,0.3098056909876975
523,CTRB2,ENSG00000168928,Q6GPI1,uniprot_swissprot,0.30935703904394
524,VGLL3,ENSG00000206538,A8MV65,uniprot_swissprot,0.30926367675591176
525,PRICKLE1,ENSG00000139174,Q96MT3,uniprot_swissprot,0.30914169831700516
526,LDLRAD4,ENSG00000168675,O15165,uniprot_swissprot,0.30905774167875
527,MDM4,ENSG00000198625,O15151,uniprot_swissprot,0.30893684367908913
528,TENM2,ENSG00000145934,Q9NT68,uniprot_swissprot,0.3089303727555275
529,ZNF703,ENSG00000183779,Q9H7S9,uniprot_swissprot,0.30813941023555375
530,LTK,ENSG00000062524,P29376,uniprot_swissprot,0.30806538837717723
531,MFSD14B,ENSG00000148110,Q5SR56,uniprot_swissprot,0.3076820288367079
532,SPOCK2,ENSG00000107742,Q92563,uniprot_swissprot,0.30761035228334555
533,STEAP1,ENSG00000164647,Q9UHE8,uniprot_swissprot,0.30738732584429485
534,SHQ1,ENSG00000144736,Q6PI26,uniprot_swissprot,0.30704123545804857
535,PRDM5,ENSG00000138738,Q9NQX1,uniprot_swissprot,0.3070048611422977
536,BRAF,ENSG00000157764,P15056,uniprot_swissprot,0.3070044516126902
537,ERN1,ENSG00000178607,O75460,uniprot_swissprot,0.30663371901667935
538,NFKBIZ,ENSG00000144802,Q9BYH8,uniprot_swissprot,0.3066262787680317
539,KCNG1,ENSG00000026559,Q9UIX4,uniprot_swissprot,0.3066039894928406
540,CERS6,ENSG00000172292,Q6ZMG9,uniprot_swissprot,0.3060683150803642
541,SLC7A5,ENSG00000103257,Q01650,uniprot_swissprot,0.30601353283746474
542,SEC61A2,ENSG00000065665,Q9H9S3,uniprot_swissprot,0.3053671004908953
543,SV2B,ENSG00000185518,Q7L1I2,uniprot_swissprot,0.305302777632877
544,GRB10,ENSG00000106070,Q13322,uniprot_swissprot,0.30497326620529996
545,PELO,ENSG00000152684,Q9BRX2,uniprot_swissprot,0.3044619138748031
546,MPPED2,ENSG00000066382,Q15777,uniprot_swissprot,0.3041533001740359
547,IDE,ENSG00000119912,P14735,uniprot_swissprot,0.3040697468946388
548,ABCC5,ENSG00000114770,O15440,uniprot_swissprot,0.30350206724429807
549,GLI2,ENSG00000074047,P10070,uniprot_swissprot,0.30326364358695523
550,ZFPM1,ENSG00000179588,Q8IX07,uniprot_swissprot,0.3030329869198647
551,OTULINL,ENSG00000145569,Q9NUU6,uniprot_swissprot,0.3029976235956277
552,AGMO,ENSG00000187546,Q6ZNB7,uniprot_swissprot,0.3027108249497618
553,PCSK6,ENSG00000140479,P29122,uniprot_swissprot,0.30195992605676314
554,WBP1L,ENSG00000166272,Q9NX94,uniprot_swissprot,0.30171790250121866
555,NFIB,ENSG00000147862,O00712,uniprot_swissprot,0.30124566826761046
556,SOCS2,ENSG00000120833,O14508,uniprot_swissprot,0.3012061007068369
557,NELL1,ENSG00000165973,Q92832,uniprot_swissprot,0.3010854757360685
558,NOL4,ENSG00000101746,O94818,uniprot_swissprot,0.3006903914328223
559,CCSER1,ENSG00000184305,Q9C0I3,uniprot_swissprot,0.30009050652922603
560,GRK5,ENSG00000198873,P34947,uniprot_swissprot,0.2999299615681666
561,ALG10B,ENSG00000175548,Q5I7T1,uniprot_swissprot,0.29992101789643116
562,REV3L,ENSG00000009413,O60673,uniprot_swissprot,0.29978514088175195
563,PPP4R3A,ENSG00000100796,Q6IN85,uniprot_swissprot,0.29933796045363353
564,ZBTB46,ENSG00000130584,Q86UZ6,uniprot_swissprot,0.2992357073937405
565,TRAF3,ENSG00000131323,Q13114,uniprot_swissprot,0.2990876736186513
566,AFF3,ENSG00000144218,P51826,uniprot_swissprot,0.29883634448462804
567,SEPTIN9,ENSG00000184640,Q9UHD8,uniprot_swissprot,0.2987659747604381
568,TRIQK,ENSG00000205133,Q629K1,uniprot_swissprot,0.29836644321997546
569,SLC9B1,ENSG00000164037,Q4ZJI4,uniprot_swissprot,0.29829368041669224
570,OSGIN1,ENSG00000140961,Q9UJX0,uniprot_swissprot,0.29791204670672156
571,MRAS,ENSG00000158186,O14807,uniprot_swissprot,0.29782847541731866
572,SNTB1,ENSG00000172164,Q13884,uniprot_swissprot,0.29775062056932605
573,SIX3,ENSG00000138083,O95343,uniprot_swissprot,0.29758168272226965
574,GRM8,ENSG00000179603,O00222,uniprot_swissprot,0.2967309493075627
575,ASCC2,ENSG00000100325,Q9H1I8,uniprot_swissprot,0.29670750805934015
576,IFIH1,ENSG00000115267,Q9BYX4,uniprot_swissprot,0.2954394661219476
577,GAB2,ENSG00000033327,Q9UQC2,uniprot_swissprot,0.2953476224528161
578,RIGI,ENSG00000107201,O95786,uniprot_swissprot,0.2952263545916859
579,AOAH,ENSG00000136250,P28039,uniprot_swissprot,0.29520701341419775
580,GALNT3,ENSG00000115339,Q14435,uniprot_swissprot,0.294595717656457
581,GLRA1,ENSG00000145888,P23415,uniprot_swissprot,0.29458205987736513
582,ARID4A,ENSG00000032219,P29374,uniprot_swissprot,0.2939272024129241
583,PHACTR1,ENSG00000112137,Q9C0D0,uniprot_swissprot,0.29336070776372647
584,VPS53,ENSG00000141252,Q5VIR6,uniprot_swissprot,0.2933355342054589
585,FAM227B,ENSG00000166262,Q96M60,uniprot_swissprot,0.29314678149554174
586,RNLS,ENSG00000184719,Q5VYX0,uniprot_swissprot,0.29290525272824103
587,MFHAS1,ENSG00000147324,Q9Y4C4,uniprot_swissprot,0.2923993925777533
588,ZFPM2,ENSG00000169946,Q8WW38,uniprot_swissprot,0.29217422258943615
589,PRKD1,ENSG00000184304,Q15139,uniprot_swissprot,0.2921708998335197
590,MYBL2,ENSG00000101057,P10244,uniprot_swissprot,0.2921139903682986
591,ZHX3,ENSG00000174306,Q9H4I2,uniprot_swissprot,0.2911021128364476
592,QKI,ENSG00000112531,Q96PU8,uniprot_swissprot,0.29096331320879587
593,NR1H4,ENSG00000012504,Q96RI1,uniprot_swissprot,0.29082899533773604
594,NCAN,ENSG00000130287,O14594,uniprot_swissprot,0.2902328606196487
595,BMF,ENSG00000104081,Q96LC9,uniprot_swissprot,0.2895558477290209
596,TRANK1,ENSG00000168016,O15050,uniprot_swissprot,0.2894022370133953
597,SOX5,ENSG00000134532,P35711,uniprot_swissprot,0.2887824313137891
598,MEF2C,ENSG00000081189,Q06413,uniprot_swissprot,0.2878266117152527
599,WRN,ENSG00000165392,Q14191,uniprot_swissprot,0.28741008232472814
600,ATP2A3,ENSG00000074370,Q93084,uniprot_swissprot,0.28731956862060654
601,ADRB2,ENSG00000169252,P07550,uniprot_swissprot,0.28726308783602017
602,CENPW,ENSG00000203760,Q5EE01,uniprot_swissprot,0.2866558515197347
603,ADAM30,ENSG00000134249,Q9UKF2,uniprot_swissprot,0.2865331338186232
604,PPP2R2A,ENSG00000221914,P63151,uniprot_swissprot,0.285656732102908
605,ERLIN1,ENSG00000107566,O75477,uniprot_swissprot,0.2846347987069875
606,SFI1,ENSG00000198089,A8K8P3,uniprot_swissprot,0.28463265418172834
607,RALY,ENSG00000125970,Q9UKM9,uniprot_swissprot,0.28448235153134
608,FAM185A,ENSG00000222011,Q8N0U4,uniprot_swissprot,0.28431230959723397
609,DCUN1D4,ENSG00000109184,Q92564,uniprot_swissprot,0.2842581433232758
610,CNTNAP2,ENSG00000174469,Q9UHC6,uniprot_swissprot,0.2840239146315453
611,RAI1,ENSG00000108557,Q7Z5J4,uniprot_swissprot,0.28361485026049954
612,CCAR2,ENSG00000158941,Q8N163,uniprot_swissprot,0.28359566339435144
613,CPNE4,ENSG00000196353,Q96A23,uniprot_swissprot,0.28338058829781954
614,CDC14C,ENSG00000218305,A4D256,uniprot_swissprot,0.28291714901308623
615,UBE2L5,ENSG00000236444,A0A1B0GUS4,uniprot_swissprot,0.2827129141213727
616,NFKBIA,ENSG00000100906,P25963,uniprot_swissprot,0.2825716108820609
617,EYA1,ENSG00000104313,Q99502,uniprot_swissprot,0.28255153907826736
618,MRPS30,ENSG00000112996,Q9NP92,uniprot_swissprot,0.28236446360726103
619,ZFAT,ENSG00000066827,Q9P243,uniprot_swissprot,0.282039063960859
620,MED23,ENSG00000112282,Q9ULK4,uniprot_swissprot,0.28200910438050597
621,CLXN,ENSG00000034239,Q9HAE3,uniprot_swissprot,0.281645372971367
622,AQP10,ENSG00000143595,Q96PS8,uniprot_swissprot,0.2815547971749182
623,DDC,ENSG00000132437,P20711,uniprot_swissprot,0.2814282803698342
624,NYNRIN,ENSG00000205978,Q9P2P1,uniprot_swissprot,0.281363312297275
625,NR3C2,ENSG00000151623,P08235,uniprot_swissprot,0.28129807165476084
626,AP3S2,ENSG00000157823,P59780,uniprot_swissprot,0.28109543504594814
627,TRIB1,ENSG00000173334,Q96RU8,uniprot_swissprot,0.280690842358139
628,CHMP4B,ENSG00000101421,Q9H444,uniprot_swissprot,0.2801530458259901
629,CTLA4,ENSG00000163599,P16410,uniprot_swissprot,0.28008096183430853
630,YKT6,ENSG00000106636,O15498,uniprot_swissprot,0.28003463632499426
631,JMJD1C,ENSG00000171988,Q15652,uniprot_swissprot,0.2800225313828468
632,ATXN7,ENSG00000163635,O15265,uniprot_swissprot,0.27987839340652904
633,WNT7B,ENSG00000188064,P56706,uniprot_swissprot,0.27986827011758675
634,IL2RA,ENSG00000134460,P01589,uniprot_swissprot,0.2797958521616238
635,PIK3R1,ENSG00000145675,P27986,uniprot_swissprot,0.2794367960500522
636,GDF6,ENSG00000156466,Q6KF10,uniprot_swissprot,0.27930334472273044
637,CAMK1D,ENSG00000183049,Q8IU85,uniprot_swissprot,0.27886709864066983
638,ANK1,ENSG00000029534,P16157,uniprot_swissprot,0.2783048270948245
639,ARHGAP24,ENSG00000138639,Q8N264,uniprot_swissprot,0.2782755307600397
640,TMEM154,ENSG00000170006,Q6P9G4,uniprot_swissprot,0.27710591714960336
641,RBMS3,ENSG00000144642,Q6XE24,uniprot_swissprot,0.27706756628539203
642,EP400,ENSG00000183495,Q96L91,uniprot_swissprot,0.27686187352366576
643,SCARF2,ENSG00000244486,Q96GP6,uniprot_swissprot,0.27681574937712816
644,KBTBD6,ENSG00000165572,Q86V97,uniprot_swissprot,0.2756865940969657
645,AMZ1,ENSG00000174945,Q400G9,uniprot_swissprot,0.2755085528307315
646,HMGA1,ENSG00000137309,P17096,uniprot_swissprot,0.27543949420183095
647,ARVCF,ENSG00000099889,O00192,uniprot_swissprot,0.27485670228055825
648,TCF19,ENSG00000137310,Q9Y242,uniprot_swissprot,0.274383197341447
649,SLC12A1,ENSG00000074803,Q13621,uniprot_swissprot,0.27436171156801814
650,DUSP9,ENSG00000130829,Q99956,uniprot_swissprot,0.274315315578801
651,PARD3B,ENSG00000116117,Q8TEW8,uniprot_swissprot,0.2741797830971487
652,ZFAND6,ENSG00000086666,Q6FIF0,uniprot_swissprot,0.27411653577258305
653,LIN7A,ENSG00000111052,O14910,uniprot_swissprot,0.273849533945431
654,EMSY,ENSG00000158636,Q7Z589,uniprot_swissprot,0.27340579455314507
655,OASL,ENSG00000135114,Q15646,uniprot_swissprot,0.2733102905460676
656,INAFM2,ENSG00000259330,P0DMQ5,uniprot_swissprot,0.2732575561355525
657,EIF5A2,ENSG00000163577,Q9GZV4,uniprot_swissprot,0.2730346148826052
658,ACTN1,ENSG00000072110,P12814,uniprot_swissprot,0.2725788249782822
659,DGKD,ENSG00000077044,Q16760,uniprot_swissprot,0.2724049645468949
660,IRX3,ENSG00000177508,P78415,uniprot_swissprot,0.272320369346689
661,JPH2,ENSG00000149596,Q9BR39,uniprot_swissprot,0.27221629621750926
662,PDILT,ENSG00000169340,Q8N807,uniprot_swissprot,0.27189353696319823
663,WDR7,ENSG00000091157,Q9Y4E6,uniprot_swissprot,0.2712502686761809
664,IL34,ENSG00000157368,Q6ZMJ4,uniprot_swissprot,0.27116093044742007
665,CAMKMT,ENSG00000143919,Q7Z624,uniprot_swissprot,0.2709613935401784
666,BRD3,ENSG00000169925,Q15059,uniprot_swissprot,0.27059573954800764
667,GRHL1,ENSG00000134317,Q9NZI5,uniprot_swissprot,0.27056337061155994
668,GIN1,ENSG00000145723,Q9NXP7,uniprot_swissprot,0.2700003144852636
669,PPP2R2C,ENSG00000074211,Q9Y2T4,uniprot_swissprot,0.26992260645018346
