approvedSymbol,Druggable Family,ENSG
TRMT9B,No,ENSG00000250305
FXYD6-FXYD2,No,ENSG00000255245
HSPB9,No,ENSG00000260325
MTRNR2L6,No,ENSG00000270672
ZNF595,No,ENSG00000272602
UHRF1,No,ENSG00000276043
GPIHBP1,No,ENSG00000277494
TRBJ1-4,No,ENSG00000281958
TRBJ1-1,No,ENSG00000282320
CACNG3,Yes,ENSG00000006116
TAC1,No,ENSG00000006128
HDAC4,Yes,ENSG00000068024
POLB,Yes,ENSG00000070501
ATP6AP1,No,ENSG00000071553
PALS1,No,ENSG00000072415
MARK2,Yes,ENSG00000072518
GSK3B,Yes,ENSG00000082701
TDRD3,No,ENSG00000083544
HNRNPM,No,ENSG00000099783
GSTZ1,No,ENSG00000100577
DYRK1B,Yes,ENSG00000105204
WDR83OS,No,ENSG00000105583
ATE1,No,ENSG00000107669
EFNB3,No,ENSG00000108947
SOD3,No,ENSG00000109610
VDR,Yes,ENSG00000111424
PHF1,No,ENSG00000112511
GORASP1,No,ENSG00000114745
WNT6,No,ENSG00000115596
TAS2R7,No,ENSG00000121377
CCZ1,No,ENSG00000122674
CISD1,Yes,ENSG00000122873
BFSP1,No,ENSG00000125864
BECN1,No,ENSG00000126581
SEM1,No,ENSG00000127922
ASPHD2,No,ENSG00000128203
IQCN,No,ENSG00000130518
RLIM,No,ENSG00000131263
NUP210,No,ENSG00000132182
LDHA,Yes,ENSG00000134333
FPGS,Yes,ENSG00000136877
DCUN1D5,No,ENSG00000137692
ATIC,Yes,ENSG00000138363
MFAP1,No,ENSG00000140259
TLNRD1,No,ENSG00000140406
INTS7,No,ENSG00000143493
DUSP10,No,ENSG00000143507
TPM3,No,ENSG00000143549
GULP1,No,ENSG00000144366
RETREG2,No,ENSG00000144567
EGFR,Yes,ENSG00000146648
ATXN7L1,No,ENSG00000146776
SNX12,No,ENSG00000147164
MAL2,No,ENSG00000147676
PARD3,No,ENSG00000148498
UBP1,No,ENSG00000153560
MIA3,No,ENSG00000154305
MED8,No,ENSG00000159479
ZYX,No,ENSG00000159840
LEMD2,No,ENSG00000161904
IER5,No,ENSG00000162783
SPDYA,No,ENSG00000163806
ZC3H12A,No,ENSG00000163874
SNAPC3,No,ENSG00000164975
HDGFL3,No,ENSG00000166503
APEX2,No,ENSG00000169188
ZRSR2,No,ENSG00000169249
SHE,No,ENSG00000169291
LRRC45,No,ENSG00000169683
ACOT12,No,ENSG00000172497
THAP6,No,ENSG00000174796
TYMS,Yes,ENSG00000176890
MUC20,No,ENSG00000176945
ALOXE3,Yes,ENSG00000179148
MYL11,No,ENSG00000180209
GARIN6,No,ENSG00000180219
OR52K2,No,ENSG00000181963
NXPH3,No,ENSG00000182575
C2CD4C,No,ENSG00000183186
POTEC,No,ENSG00000183206
USP18,No,ENSG00000184979
CDK10,Yes,ENSG00000185324
GSAP,No,ENSG00000186088
B3GLCT,No,ENSG00000187676
BCL2L15,No,ENSG00000188761
OR2C3,No,ENSG00000196242
ZNF605,No,ENSG00000196458
AFAP1,No,ENSG00000196526
SULT1C4,No,ENSG00000198075
MT-ND6,No,ENSG00000198695
CD247,No,ENSG00000198821
RBM20,No,ENSG00000203867
CSHL1,No,ENSG00000204414
APOM,No,ENSG00000204444
ZDHHC11B,No,ENSG00000206077
C2orf92,No,ENSG00000228486
GK3P,No,ENSG00000229894
DND1,No,ENSG00000256453
CSAG2,No,ENSG00000268902
FAM236B,No,ENSG00000268994
RPS10-NUDT3,No,ENSG00000270800
IGHV1OR21-1,No,ENSG00000277282
OR8K3,No,ENSG00000280314
SMIM41,No,ENSG00000284791
NOTCH2NLB,No,ENSG00000286019
TKTL1,No,ENSG00000007350
BRCA1,Yes,ENSG00000012048
ARHGAP31,No,ENSG00000031081
OFD1,No,ENSG00000046651
FRMPD1,No,ENSG00000070601
ATP12A,Yes,ENSG00000075673
PAX2,No,ENSG00000075891
DOP1A,No,ENSG00000083097
SLC16A8,No,ENSG00000100156
TIMP3,No,ENSG00000100234
APEX1,Yes,ENSG00000100823
COMP,No,ENSG00000105664
POLR1F,No,ENSG00000105849
SLC9A3R1,No,ENSG00000109062
PMP22,Yes,ENSG00000109099
VWA5A,No,ENSG00000110002
ARSB,No,ENSG00000113273
VAX2,No,ENSG00000116035
PTBP2,No,ENSG00000117569
MTFR1L,No,ENSG00000117640
PROX1,No,ENSG00000117707
PRAMEF2,No,ENSG00000120952
DESI2,No,ENSG00000121644
POLM,No,ENSG00000122678
COQ8B,Yes,ENSG00000123815
MEA1,No,ENSG00000124733
TRIM51,No,ENSG00000124900
MBOAT7,No,ENSG00000125505
PANK2,No,ENSG00000125779
LRRN4,No,ENSG00000125872
ACKR4,Yes,ENSG00000129048
AIPL1,No,ENSG00000129221
CRB3,No,ENSG00000130545
ARHGEF16,No,ENSG00000130762
C1QL1,No,ENSG00000131094
HRH4,Yes,ENSG00000134489
SLC9A5,No,ENSG00000135740
GALNT5,No,ENSG00000136542
KLC4,No,ENSG00000137171
CALHM2,No,ENSG00000138172
BMP2K,Yes,ENSG00000138756
DCAF5,No,ENSG00000139990
CYP1A1,Yes,ENSG00000140465
SPACA3,No,ENSG00000141316
PARP1,Yes,ENSG00000143799
FBXO38,No,ENSG00000145868
GOLGA7,No,ENSG00000147533
NSD3,No,ENSG00000147548
ZNF827,No,ENSG00000151612
ITIH2,No,ENSG00000151655
NADK2,No,ENSG00000152620
FAM161B,No,ENSG00000156050
OR7G1,No,ENSG00000161807
SLC6A20,Yes,ENSG00000163817
CCDC127,No,ENSG00000164366
ANKS6,No,ENSG00000165138
SUGT1,No,ENSG00000165416
ZNF219,No,ENSG00000165804
BTNL3,No,ENSG00000168903
EFNA1,No,ENSG00000169242
ZNF160,No,ENSG00000170949
APLN,No,ENSG00000171388
ZNF556,No,ENSG00000172000
AZU1,No,ENSG00000172232
MTHFR,No,ENSG00000177000
RHOG,No,ENSG00000177105
ZBTB33,No,ENSG00000177485
ST8SIA3,No,ENSG00000177511
NXPH4,No,ENSG00000182379
FANCF,No,ENSG00000183161
ACP7,No,ENSG00000183760
RGPD2,No,ENSG00000185304
CFAP77,No,ENSG00000188523
ZFP62,No,ENSG00000196670
MT1F,No,ENSG00000198417
ZNF43,No,ENSG00000198521
GGTA1,No,ENSG00000204136
RANBP17,No,ENSG00000204764
IGLV3-12,No,ENSG00000211667
TRBV24-1,No,ENSG00000211750
CAPN14,No,ENSG00000214711
TDRD15,No,ENSG00000218819
FAM90A26,No,ENSG00000229924
RNF148,No,ENSG00000235631
GET4,No,ENSG00000239857
L1TD1,No,ENSG00000240563
KRBOX1,No,ENSG00000240747
BORCS8,No,ENSG00000254901
UBTFL1,No,ENSG00000255009
CARD18,No,ENSG00000255501
QPCTL,No,ENSG00000011478
CTNS,No,ENSG00000040531
PREX2,No,ENSG00000046889
SEC61A1,No,ENSG00000058262
LAPTM4A,No,ENSG00000068697
LNX1,No,ENSG00000072201
BPIFB2,No,ENSG00000078898
LYRM2,No,ENSG00000083099
OCEL1,No,ENSG00000099330
SYNGR1,No,ENSG00000100321
NFKBIA,Yes,ENSG00000100906
ASB9,No,ENSG00000102048
SETD6,No,ENSG00000103037
CABP5,No,ENSG00000105507
PCOLCE,No,ENSG00000106333
CNTNAP3,No,ENSG00000106714
PPY,No,ENSG00000108849
UBE4A,No,ENSG00000110344
CBL,No,ENSG00000110395
DAO,Yes,ENSG00000110887
GUCA1B,No,ENSG00000112599
CCNG1,No,ENSG00000113328
PCGF1,No,ENSG00000115289
PRKD3,Yes,ENSG00000115825
MROH9,No,ENSG00000117501
COQ6,No,ENSG00000119723
PYROXD2,No,ENSG00000119943
RPAP2,No,ENSG00000122484
POF1B,No,ENSG00000124429
NDUFA1,No,ENSG00000125356
ALKBH7,No,ENSG00000125652
GRPR,Yes,ENSG00000126010
NUTM2F,No,ENSG00000130950
SLC35D2,No,ENSG00000130958
IQCA1,No,ENSG00000132321
GPALPP1,No,ENSG00000133114
PRAM1,No,ENSG00000133246
COL4A2,No,ENSG00000134871
CEP162,No,ENSG00000135315
PRADC1,No,ENSG00000135617
TBRG4,No,ENSG00000136270
CTDSPL2,No,ENSG00000137770
SLC38A4,No,ENSG00000139209
SLC15A4,No,ENSG00000139370
N4BP2L1,No,ENSG00000139597
MINK1,Yes,ENSG00000141503
SMAD4,No,ENSG00000141646
CTSK,Yes,ENSG00000143387
CNTN4,No,ENSG00000144619
ADGRG7,No,ENSG00000144820
USP6NL,No,ENSG00000148429
SYT8,No,ENSG00000149043
CSTPP1,No,ENSG00000149179
CAPN5,No,ENSG00000149260
TIMM8B,No,ENSG00000150779
IPMK,No,ENSG00000151151
CENPJ,No,ENSG00000151849
TOMM70,No,ENSG00000154174
FGD5,No,ENSG00000154783
PIEZO2,No,ENSG00000154864
RASA2,No,ENSG00000155903
CLDN12,No,ENSG00000157224
ZNF618,No,ENSG00000157657
IL6R,No,ENSG00000160712
TEX55,No,ENSG00000163424
GAPVD1,No,ENSG00000165219
LALBA,No,ENSG00000167531
MFSD3,No,ENSG00000167700
KIF5C,No,ENSG00000168280
HEXIM2,No,ENSG00000168517
NR0B1,Yes,ENSG00000169297
SPRR1B,No,ENSG00000169469
TSNARE1,No,ENSG00000171045
ZNF581,No,ENSG00000171425
ATF7IP,No,ENSG00000171681
MLLT3,No,ENSG00000171843
OR10W1,No,ENSG00000172772
ZNG1A,No,ENSG00000172785
C1QA,No,ENSG00000173372
MBOAT4,No,ENSG00000177669
ARL14,No,ENSG00000179674
GPR135,Yes,ENSG00000181619
MRGPRG,Yes,ENSG00000182170
CRYGB,No,ENSG00000182187
OPCML,No,ENSG00000183715
BPY2,No,ENSG00000183753
FAM131C,No,ENSG00000185519
KRTAP21-1,No,ENSG00000187005
LCE2D,No,ENSG00000187223
ZNF286A,No,ENSG00000187607
SPRY4,No,ENSG00000187678
ZNF786,No,ENSG00000197362
ADARB1,No,ENSG00000197381
GZMM,No,ENSG00000197540
GRM3,Yes,ENSG00000198822
C17orf107,No,ENSG00000205710
HACD2,No,ENSG00000206527
TMEM114,No,ENSG00000232258
GAGE12B,No,ENSG00000236737
OR5V1,No,ENSG00000243729
STX16-NPEPL1,No,ENSG00000254995
RHEX,No,ENSG00000263961
ZNF587B,No,ENSG00000269343
FAM90A22,No,ENSG00000285687
ETV7,No,ENSG00000010030
SLC38A5,No,ENSG00000017483
SNX1,No,ENSG00000028528
SH3YL1,No,ENSG00000035115
QSER1,No,ENSG00000060749
WNT8A,No,ENSG00000061492
GPC1,No,ENSG00000063660
MCAM,No,ENSG00000076706
RIMS1,No,ENSG00000079841
ZNF343,No,ENSG00000088876
OAS1,No,ENSG00000089127
KCNH4,Yes,ENSG00000089558
SYDE2,No,ENSG00000097096
SAMHD1,No,ENSG00000101347
CAB39L,No,ENSG00000102547
RASL12,No,ENSG00000103710
CD276,No,ENSG00000103855
GRPEL1,No,ENSG00000109519
BLTP3B,No,ENSG00000111647
GADD45A,No,ENSG00000116717
KHDRBS1,Yes,ENSG00000121774
BPIFB1,No,ENSG00000125999
STRIP2,No,ENSG00000128578
KLHDC10,No,ENSG00000128607
KCNC1,Yes,ENSG00000129159
ATP1B2,Yes,ENSG00000129244
UBAC1,No,ENSG00000130560
COX4I1,No,ENSG00000131143
H3-3B,No,ENSG00000132475
GNG5P2,No,ENSG00000133136
LARS1,Yes,ENSG00000133706
SPIRE1,No,ENSG00000134278
CD63,No,ENSG00000135404
TAF5L,No,ENSG00000135801
ANKRD36,No,ENSG00000135976
GARNL3,No,ENSG00000136895
DIAPH3,No,ENSG00000139734
C17orf64,No,ENSG00000141371
CREB3L4,No,ENSG00000143578
ARL6IP5,No,ENSG00000144746
GABRB2,Yes,ENSG00000145864
SLC12A9,Yes,ENSG00000146828
CHEK1,Yes,ENSG00000149554
FAM177A1,No,ENSG00000151327
USP25,No,ENSG00000155313
C16orf87,No,ENSG00000155330
PTMS,No,ENSG00000159335
CCDC107,No,ENSG00000159884
GATD3,No,ENSG00000160221
SCGB3A1,No,ENSG00000161055
LZTFL1,No,ENSG00000163818
SLC9B2,No,ENSG00000164038
TBXT,No,ENSG00000164458
CDYL2,No,ENSG00000166446
TK2,Yes,ENSG00000166548
ATP23,No,ENSG00000166896
PIP5KL1,No,ENSG00000167103
KCTD5,No,ENSG00000167977
RAB31,No,ENSG00000168461
SCAI,No,ENSG00000173611
KCNE3,No,ENSG00000175538
OR4D11,No,ENSG00000176200
PLAAT3,No,ENSG00000176485
RIC8A,No,ENSG00000177963
OR10Q1,No,ENSG00000180475
OR5M8,No,ENSG00000181371
ST6GALNAC3,No,ENSG00000184005
TRDN,No,ENSG00000186439
KRTAP19-2,No,ENSG00000186965
LAMA2,No,ENSG00000196569
AJAP1,No,ENSG00000196581
ZNF512B,No,ENSG00000196700
FCHSD1,No,ENSG00000197948
FAN1,No,ENSG00000198690
C1orf68,No,ENSG00000198854
PCMTD2,No,ENSG00000203880
TRBV5-7,No,ENSG00000211731
TRAJ45,No,ENSG00000211844
TRAJ28,No,ENSG00000211861
TRAJ23,No,ENSG00000211866
TRAJ10,No,ENSG00000211879
IGHD3-9,No,ENSG00000211924
SMIM7,No,ENSG00000214046
GDF10,No,ENSG00000266524
ZNF728,No,ENSG00000269067
TRBV14,No,ENSG00000275743
TOMM34,No,ENSG00000025772
USP28,No,ENSG00000048028
SLC46A1,No,ENSG00000076351
TP53INP2,No,ENSG00000078804
LIPE,Yes,ENSG00000079435
NRCAM,No,ENSG00000091129
WASHC2A,No,ENSG00000099290
HSD3B7,Yes,ENSG00000099377
SRPX,No,ENSG00000101955
GPI,No,ENSG00000105220
PLEKHA1,No,ENSG00000107679
CORO1C,No,ENSG00000110880
PRPH2,No,ENSG00000112619
TANC1,No,ENSG00000115183
KMO,Yes,ENSG00000117009
CD80,No,ENSG00000121594
NDUFAF4,No,ENSG00000123545
PODXL,No,ENSG00000128567
WDR44,No,ENSG00000131725
KLRC1,No,ENSG00000134545
COQ10A,No,ENSG00000135469
SCYL2,Yes,ENSG00000136021
CCDC115,No,ENSG00000136710
CTSV,Yes,ENSG00000136943
PI15,No,ENSG00000137558
ZNF697,No,ENSG00000143067
ARNT,No,ENSG00000143437
VASH2,No,ENSG00000143494
RSU1,No,ENSG00000148484
SAV1,No,ENSG00000151748
CACNA2D1,Yes,ENSG00000153956
KCTD18,No,ENSG00000155729
TMEM268,No,ENSG00000157693
CABP1,No,ENSG00000157782
ZNF222,No,ENSG00000159885
AGPAT3,No,ENSG00000160216
SCIMP,No,ENSG00000161929
NOL9,No,ENSG00000162408
VPS72,No,ENSG00000163159
S100A12,No,ENSG00000163221
DCAF16,No,ENSG00000163257
CXCR1,Yes,ENSG00000163464
OSR2,No,ENSG00000164920
CCDC38,No,ENSG00000165972
CEP295,No,ENSG00000166004
MGAT5B,No,ENSG00000167889
CCDC110,No,ENSG00000168491
NFU1,No,ENSG00000169599
ROBO1,No,ENSG00000169855
KRT86,No,ENSG00000170442
DNAJC18,No,ENSG00000170464
PAIP1,No,ENSG00000172239
C11orf80,No,ENSG00000173715
SELP,Yes,ENSG00000174175
POGLUT3,No,ENSG00000178202
ERN1,Yes,ENSG00000178607
C3orf38,No,ENSG00000179021
BBS10,No,ENSG00000179941
EXT1,No,ENSG00000182197
MBD3L3,No,ENSG00000182315
LHFPL6,No,ENSG00000183722
TEX33,No,ENSG00000185264
KRT10,No,ENSG00000186395
ERAS,No,ENSG00000187682
UTS2B,No,ENSG00000188958
SLC25A29,No,ENSG00000197119
SULT1A2,No,ENSG00000197165
ZNF165,No,ENSG00000197279
ZNF627,No,ENSG00000198551
DCAF12,No,ENSG00000198876
ASB12,No,ENSG00000198881
MAP3K3,Yes,ENSG00000198909
LSM2,No,ENSG00000204392
ATP10A,No,ENSG00000206190
ASIC3,Yes,ENSG00000213199
TMEM242,No,ENSG00000215712
DDOST,No,ENSG00000244038
ETV5,No,ENSG00000244405
OR2T11,No,ENSG00000279301
SYT7,No,ENSG00000011347
CALCOCO1,No,ENSG00000012822
PPP1R12A,No,ENSG00000058272
ROPN1,No,ENSG00000065371
MSANTD3,No,ENSG00000066697
DNTTIP2,No,ENSG00000067334
OTUD5,No,ENSG00000068308
RSBN1,No,ENSG00000081019
ARHGAP4,No,ENSG00000089820
FOXRED2,No,ENSG00000100350
GSS,No,ENSG00000100983
MMP15,Yes,ENSG00000102996
ZNF500,No,ENSG00000103199
ANKRD7,No,ENSG00000106013
RLN2,No,ENSG00000107014
CSF3,No,ENSG00000108342
ZNF330,No,ENSG00000109445
ACSS3,No,ENSG00000111058
NT5DC3,No,ENSG00000111696
C2CD5,No,ENSG00000111731
BRD8,No,ENSG00000112983
TTC33,No,ENSG00000113638
ITGB6,Yes,ENSG00000115221
WARS2,No,ENSG00000116874
NT5C1A,No,ENSG00000116981
PRDX1,No,ENSG00000117450
ECRG4,No,ENSG00000119147
PROSER1,No,ENSG00000120685
ZSCAN18,No,ENSG00000121413
HIVEP3,No,ENSG00000127124
SLC35E1,No,ENSG00000127526
TAF4,No,ENSG00000130699
TRIM28,No,ENSG00000130726
NDFIP1,No,ENSG00000131507
RAI2,No,ENSG00000131831
BCL2L10,Yes,ENSG00000137875
HERC6,No,ENSG00000138642
FAM222A,No,ENSG00000139438
RLBP1,No,ENSG00000140522
PRELID3A,No,ENSG00000141391
PNMT,Yes,ENSG00000141744
SCRN3,No,ENSG00000144306
EIF2A,No,ENSG00000144895
RGR,Yes,ENSG00000148604
CTF1,No,ENSG00000150281
NUBPL,No,ENSG00000151413
ADK,Yes,ENSG00000156110
MED19,No,ENSG00000156603
SRSF2,No,ENSG00000161547
TRIM58,No,ENSG00000162722
GNPDA2,No,ENSG00000163281
SHISA5,No,ENSG00000164054
SCRG1,No,ENSG00000164106
DRGX,No,ENSG00000165606
POTED,No,ENSG00000166351
HTR3A,Yes,ENSG00000166736
DCTN5,No,ENSG00000166847
HDHD2,No,ENSG00000167220
SERTAD3,No,ENSG00000167565
HID1,No,ENSG00000167861
SDHAF2,No,ENSG00000167985
ACTRT2,No,ENSG00000169717
ZNF32,No,ENSG00000169740
CST1,No,ENSG00000170373
GCSAM,No,ENSG00000174500
BRMS1,No,ENSG00000174744
YPEL2,No,ENSG00000175155
LRRC25,No,ENSG00000175489
TMEM70,No,ENSG00000175606
RMI2,No,ENSG00000175643
C10orf71,No,ENSG00000177354
CD19,No,ENSG00000177455
HNRNPA0,No,ENSG00000177733
NLRP11,No,ENSG00000179873
WFDC9,No,ENSG00000180205
WASHC1,No,ENSG00000181404
GSTA5,No,ENSG00000182793
C1orf116,No,ENSG00000182795
SLC25A18,No,ENSG00000182902
FOXL2,No,ENSG00000183770
CRELD2,No,ENSG00000184164
ANKDD1B,No,ENSG00000189045
SIAH1,No,ENSG00000196470
ENTPD4,No,ENSG00000197217
PARVA,No,ENSG00000197702
GFPT1,Yes,ENSG00000198380
SUCNR1,Yes,ENSG00000198829
OR6K3,No,ENSG00000203757
TRIM27,No,ENSG00000204713
GOLGA8O,No,ENSG00000206127
IGLV11-55,No,ENSG00000211641
TRAV4,No,ENSG00000211778
MTCP1,No,ENSG00000214827
LRRC69,No,ENSG00000214954
C2CD4D,No,ENSG00000225556
DHFR,Yes,ENSG00000228716
H2AL3,No,ENSG00000229674
PLSCR5,No,ENSG00000231213
ANKRD65,No,ENSG00000235098
TRBV30,No,ENSG00000237254
CORT,No,ENSG00000241563
DBNDD2,No,ENSG00000244274
TERB1,No,ENSG00000249961
LIMS4,No,ENSG00000256671
FRRS1L,No,ENSG00000260230
HEATR9,No,ENSG00000270379
PRAG1,No,ENSG00000275342
LBHD2,No,ENSG00000283071
SMIM44,No,ENSG00000284638
REXO5,No,ENSG00000005189
ZNF280C,No,ENSG00000056277
BCAS1,No,ENSG00000064787
RRP15,No,ENSG00000067533
ZMPSTE24,No,ENSG00000084073
KLHL22,Yes,ENSG00000099910
IFT27,No,ENSG00000100360
EEF1A2,No,ENSG00000101210
PCYT1B,No,ENSG00000102230
PDHX,No,ENSG00000110435
TTL,Yes,ENSG00000114999
KLHL12,Yes,ENSG00000117153
RBM25,No,ENSG00000119707
TMEM255A,No,ENSG00000125355
SDF2L1,No,ENSG00000128228
KNSTRN,No,ENSG00000128944
ANGPTL8,No,ENSG00000130173
ATP8A2,No,ENSG00000132932
UBQLN1,No,ENSG00000135018
CTSL,Yes,ENSG00000135047
RPS6KC1,No,ENSG00000136643
G3BP2,No,ENSG00000138757
LLPH,No,ENSG00000139233
GPR84,Yes,ENSG00000139572
UTP4,No,ENSG00000141076
PROK1,No,ENSG00000143125
PRCC,No,ENSG00000143294
EIF2D,No,ENSG00000143486
PDIA6,No,ENSG00000143870
ATP6V1C2,No,ENSG00000143882
TPBG,Yes,ENSG00000146242
IGFBP1,Yes,ENSG00000146678
WDR31,No,ENSG00000148225
SURF2,No,ENSG00000148291
LRMDA,No,ENSG00000148655
RAD9B,No,ENSG00000151164
VIPAS39,No,ENSG00000151445
POU4F2,No,ENSG00000151615
TSEN2,No,ENSG00000154743
TRMT44,No,ENSG00000155275
TMSB15B,No,ENSG00000158427
DVL3,No,ENSG00000161202
CYGB,No,ENSG00000161544
MEGF6,No,ENSG00000162591
GBP4,No,ENSG00000162654
MRPL55,No,ENSG00000162910
DNAJC5G,No,ENSG00000163793
CHMP4C,No,ENSG00000164695
GABRB3,Yes,ENSG00000166206
PRRX2,No,ENSG00000167157
SCN11A,Yes,ENSG00000168356
SPRY3,No,ENSG00000168939
TRIAP1,No,ENSG00000170855
LRG1,Yes,ENSG00000171236
SPACA5B,No,ENSG00000171478
SPTLC3,No,ENSG00000172296
OR5AR1,No,ENSG00000172459
PARP14,No,ENSG00000173193
MMRN2,No,ENSG00000173269
SRP72,No,ENSG00000174780
GPR149,Yes,ENSG00000174948
B3GNT4,No,ENSG00000176383
SIX5,No,ENSG00000177045
NIM1K,Yes,ENSG00000177453
GAS1,No,ENSG00000180447
OXTR,Yes,ENSG00000180914
OR5P3,No,ENSG00000182334
SRPRA,No,ENSG00000182934
ANKRD20A2P,No,ENSG00000183148
A3GALT2,No,ENSG00000184389
IRS2,No,ENSG00000185950
GLDN,No,ENSG00000186417
FOXD3,No,ENSG00000187140
ERC2,No,ENSG00000187672
PALM3,No,ENSG00000187867
GJB4,No,ENSG00000189433
EPHB4,Yes,ENSG00000196411
MAML3,No,ENSG00000196782
ZFP28,No,ENSG00000196867
SPN,No,ENSG00000197471
SLC9A8,No,ENSG00000197818
VWA7,No,ENSG00000204396
FAM205A,No,ENSG00000205108
IGLV2-18,No,ENSG00000211664
IGHV2-5,No,ENSG00000211937
TRIM77,No,ENSG00000214414
FAM236D,No,ENSG00000225396
CCDC188,No,ENSG00000234409
SMIM18,No,ENSG00000253457
ATP6V1G2-DDX39B,No,ENSG00000254870
OOSP4B,No,ENSG00000255393
TAS2R20,No,ENSG00000255837
LIX1L,No,ENSG00000271601
PADI6,No,ENSG00000276747
SSU72P7,No,ENSG00000284438
C1orf112,No,ENSG00000000460
PRSS3,Yes,ENSG00000010438
ZNF200,No,ENSG00000010539
EHD2,No,ENSG00000024422
RTEL1-TNFRSF6B,No,ENSG00000026036
SPO11,No,ENSG00000054796
ATP2B3,Yes,ENSG00000067842
PDCD2,No,ENSG00000071994
ICAM3,No,ENSG00000076662
NXPE1,No,ENSG00000095110
BLNK,No,ENSG00000095585
NUBP2,No,ENSG00000095906
PCNX1,No,ENSG00000100731
SEL1L2,No,ENSG00000101251
DCTN6,No,ENSG00000104671
ERCC2,No,ENSG00000104884
RABAC1,No,ENSG00000105404
VIPR2,No,ENSG00000106018
RNF43,No,ENSG00000108375
HOXB6,No,ENSG00000108511
GAB1,No,ENSG00000109458
WNT5B,No,ENSG00000111186
NNT,No,ENSG00000112992
MLPH,No,ENSG00000115648
TSNAX,No,ENSG00000116918
KDM5B,No,ENSG00000117139
FGFRL1,No,ENSG00000127418
DGCR6L,No,ENSG00000128185
PNCK,Yes,ENSG00000130822
AFG1L,No,ENSG00000135537
TMBIM1,No,ENSG00000135926
C2orf49,No,ENSG00000135974
FASTKD1,No,ENSG00000138399
LUM,No,ENSG00000139329
CSNK1D,Yes,ENSG00000141551
DEGS1,No,ENSG00000143753
MAT1A,No,ENSG00000151224
DRD3,Yes,ENSG00000151577
BAG3,No,ENSG00000151929
TMEM123,No,ENSG00000152558
PROM2,No,ENSG00000155066
GPAT4,No,ENSG00000158669
ITLN2,No,ENSG00000158764
ACTC1,No,ENSG00000159251
IP6K3,No,ENSG00000161896
SLAMF6,No,ENSG00000162739
CFAP36,No,ENSG00000163001
MAP9,No,ENSG00000164114
EN2,No,ENSG00000164778
TP53INP1,No,ENSG00000164938
NDUFB6,No,ENSG00000165264
BRD7,No,ENSG00000166164
ILK,Yes,ENSG00000166333
TMX3,No,ENSG00000166479
STIM1,No,ENSG00000167323
AR,Yes,ENSG00000169083
CSGALNACT2,No,ENSG00000169826
GPRC5C,No,ENSG00000170412
PLEKHG5,No,ENSG00000171680
AMY1B,Yes,ENSG00000174876
DHX36,No,ENSG00000174953
FAM131A,No,ENSG00000175182
TBC1D10C,No,ENSG00000175463
PXMP2,No,ENSG00000176894
CCDC185,No,ENSG00000178395
CTNNBIP1,No,ENSG00000178585
ABCA13,Yes,ENSG00000179869
FIZ1,No,ENSG00000179943
CACNB4,Yes,ENSG00000182389
CYLC1,No,ENSG00000183035
PCP4,No,ENSG00000183036
CNTN2,No,ENSG00000184144
UBE2G2,No,ENSG00000184787
DLK1,Yes,ENSG00000185559
SF3B3,Yes,ENSG00000189091
ZNF729,No,ENSG00000196350
MYL6B,No,ENSG00000196465
POTEF,No,ENSG00000196604
SLC2A10,No,ENSG00000197496
ABCA4,Yes,ENSG00000198691
PCDHA8,No,ENSG00000204962
TRAJ49,No,ENSG00000211840
TRAJ11,No,ENSG00000211878
CRIP1,No,ENSG00000213145
GANC,Yes,ENSG00000214013
BBIP1,No,ENSG00000214413
H2BC12L,No,ENSG00000234289
STMP1,No,ENSG00000243317
UGT1A7,No,ENSG00000244122
KRTAP19-7,No,ENSG00000244362
SULT1A3,No,ENSG00000261052
RASL10B,No,ENSG00000270885
OR51G1,No,ENSG00000278870
CEACAM7,No,ENSG00000007306
NISCH,Yes,ENSG00000010322
SLC6A13,Yes,ENSG00000010379
POLR3B,No,ENSG00000013503
GUCA1A,No,ENSG00000048545
SEC61A2,No,ENSG00000065665
ATP2A3,Yes,ENSG00000074370
SLC25A40,No,ENSG00000075303
DLGAP4,No,ENSG00000080845
FAM135A,No,ENSG00000082269
OVGP1,No,ENSG00000085465
ALKBH5,No,ENSG00000091542
SLC17A6,No,ENSG00000091664
DAZL,No,ENSG00000092345
SNAP23,No,ENSG00000092531
CWF19L1,No,ENSG00000095485
POLE2,No,ENSG00000100479
GUCY2F,Yes,ENSG00000101890
LYL1,No,ENSG00000104903
NOVA2,No,ENSG00000104967
SGTA,No,ENSG00000104969
HOXA2,No,ENSG00000105996
CHKA,No,ENSG00000110721
KPNA1,No,ENSG00000114030
STRN,No,ENSG00000115808
OSCP1,No,ENSG00000116885
KLF12,No,ENSG00000118922
GPR31,Yes,ENSG00000120436
CHD6,No,ENSG00000124177
PHAF1,No,ENSG00000125149
OTOR,No,ENSG00000125879
CHAC1,No,ENSG00000128965
LDLR,Yes,ENSG00000130164
DSG3,No,ENSG00000134757
SETDB2,No,ENSG00000136169
ATP6V1G1,No,ENSG00000136888
CENPO,No,ENSG00000138092
ZNF710,No,ENSG00000140548
NLRC5,No,ENSG00000140853
P3H4,No,ENSG00000141696
TRPM2,Yes,ENSG00000142185
GARIN5A,No,ENSG00000142530
TIPRL,No,ENSG00000143155
SLC39A1,No,ENSG00000143570
KCNN3,Yes,ENSG00000143603
UBASH3B,No,ENSG00000154127
