approvedSymbol,Druggable Family,ENSG
NAT2,No,ENSG00000156006
RER1,No,ENSG00000157916
ZNF385A,No,ENSG00000161642
AKNAD1,No,ENSG00000162641
GFI1,No,ENSG00000162676
C16orf78,No,ENSG00000166152
HSP90B1,Yes,ENSG00000166598
PBX3,No,ENSG00000167081
HDGFL2,No,ENSG00000167674
CD300C,No,ENSG00000167850
RFWD3,No,ENSG00000168411
SFTPC,No,ENSG00000168484
HSFY2,No,ENSG00000169953
LURAP1,No,ENSG00000171357
ZNF540,No,ENSG00000171817
RRM2,Yes,ENSG00000171848
OR8I2,No,ENSG00000172154
AGR3,No,ENSG00000173467
CD34,No,ENSG00000174059
ANO6,No,ENSG00000177119
SSTR2,Yes,ENSG00000180616
METTL23,No,ENSG00000181038
SOX2,No,ENSG00000181449
PRKAG1,No,ENSG00000181929
DEXI,No,ENSG00000182108
PRR36,No,ENSG00000183248
GBP6,No,ENSG00000183347
C10orf120,No,ENSG00000183559
LRRC19,No,ENSG00000184434
ZSWIM9,No,ENSG00000185453
P2RY4,Yes,ENSG00000186912
NCR1,No,ENSG00000189430
OR6K2,No,ENSG00000196171
OR2T3,Yes,ENSG00000196539
SLC22A5,Yes,ENSG00000197375
PSAP,No,ENSG00000197746
MIER1,No,ENSG00000198160
TCAF1,No,ENSG00000198420
CAPZA2,No,ENSG00000198898
EEF1AKMT2,No,ENSG00000203791
MT1H,No,ENSG00000205358
IGLV4-3,No,ENSG00000211672
TRAV38-2DV8,No,ENSG00000211817
KRTAP9-6,No,ENSG00000212659
LYRM4,No,ENSG00000214113
TRDD1,No,ENSG00000223997
IRGM,No,ENSG00000237693
IGKV1D-39,No,ENSG00000251546
OMP,No,ENSG00000254550
CRYAA2,No,ENSG00000276076
SENP3-EIF4A1,No,ENSG00000277957
SLC4A1,No,ENSG00000004939
DGAT2,No,ENSG00000062282
REEP1,No,ENSG00000068615
PPP2R5B,No,ENSG00000068971
LRCH4,No,ENSG00000077454
ITGAE,No,ENSG00000083457
SCAMP1,No,ENSG00000085365
SAMM50,No,ENSG00000100347
CHADL,Yes,ENSG00000100399
GLRA2,Yes,ENSG00000101958
ACSBG1,No,ENSG00000103740
ARMC1,No,ENSG00000104442
PPP1R13L,No,ENSG00000104881
GRIN2D,Yes,ENSG00000105464
UBE2D3,No,ENSG00000109332
DNPH1,No,ENSG00000112667
MAN2A1,No,ENSG00000112893
TNNC1,Yes,ENSG00000114854
ORC4,No,ENSG00000115947
LRRC42,No,ENSG00000116212
PTPA,No,ENSG00000119383
HELLS,No,ENSG00000119969
ARMH3,No,ENSG00000120029
EQTN,No,ENSG00000120160
POPDC2,No,ENSG00000121577
GCNT7,No,ENSG00000124091
MOCS3,No,ENSG00000124217
MSTO1,No,ENSG00000125459
ADCY4,No,ENSG00000129467
MYBBP1A,No,ENSG00000132382
SCO1,No,ENSG00000133028
SLC39A11,No,ENSG00000133195
BIVM,No,ENSG00000134897
TMED7,No,ENSG00000134970
ANXA1,No,ENSG00000135046
KIAA0513,No,ENSG00000135709
SCEL,No,ENSG00000136155
KAT7,No,ENSG00000136504
CAPN11,No,ENSG00000137225
MGARP,No,ENSG00000137463
HERC3,No,ENSG00000138641
RBP5,No,ENSG00000139194
CYP11A1,Yes,ENSG00000140459
SCAMP2,No,ENSG00000140497
NBEAL1,No,ENSG00000144426
CCDC25,No,ENSG00000147419
HNRNPU,No,ENSG00000153187
KCNJ16,Yes,ENSG00000153822
TBCEL,No,ENSG00000154114
FGF18,Yes,ENSG00000156427
STEAP2,No,ENSG00000157214
ARMC12,No,ENSG00000157343
MX1,No,ENSG00000157601
WDR19,No,ENSG00000157796
WASF2,No,ENSG00000158195
RHBDL2,No,ENSG00000158315
CPA2,No,ENSG00000158516
EFCAB14,No,ENSG00000159658
NBPF20,No,ENSG00000162825
TNFAIP8L2,No,ENSG00000163154
LMOD3,No,ENSG00000163380
TMEM52B,No,ENSG00000165685
VASN,No,ENSG00000168140
CLIC4,No,ENSG00000169504
MUC15,No,ENSG00000169550
NUDT6,No,ENSG00000170917
OR1M1,Yes,ENSG00000170929
LKAAEAR1,No,ENSG00000171695
FBXW10,No,ENSG00000171931
TEX37,No,ENSG00000172073
ANKLE2,No,ENSG00000176915
ZNF875,No,ENSG00000181666
MGAT4C,No,ENSG00000182050
C8orf33,No,ENSG00000182307
BRCC3,No,ENSG00000185515
FAM221A,No,ENSG00000188732
GIMAP5,No,ENSG00000196329
HOXC6,No,ENSG00000197757
OR52E6,No,ENSG00000205409
TRAJ56,No,ENSG00000211835
KRTAP4-9,No,ENSG00000212722
KRTAP10-3,No,ENSG00000212935
APOBEC3G,Yes,ENSG00000239713
HLA-DOB,No,ENSG00000241106
ARHGDIG,No,ENSG00000242173
GYPB,No,ENSG00000250361
IGLL5,No,ENSG00000254709
LYPD8,No,ENSG00000259823
MRC1,No,ENSG00000260314
IGHV3OR16-13,No,ENSG00000271178
TBC1D3K,No,ENSG00000273513
SCYGR2,No,ENSG00000284643
NFIX,No,ENSG00000008441
PRDM11,No,ENSG00000019485
CENPQ,No,ENSG00000031691
MYOC,No,ENSG00000034971
RIMBP2,No,ENSG00000060709
MGLL,Yes,ENSG00000074416
CXCL2,No,ENSG00000081041
SF3B2,No,ENSG00000087365
DLD,Yes,ENSG00000091140
SEMA6A,No,ENSG00000092421
WDR76,No,ENSG00000092470
LZTR1,No,ENSG00000099949
ST13,No,ENSG00000100380
MGRN1,No,ENSG00000102858
EIF3J,No,ENSG00000104131
BNIP3L,No,ENSG00000104765
FBL,No,ENSG00000105202
DDX49,No,ENSG00000105671
AK1,No,ENSG00000106992
P2RX1,Yes,ENSG00000108405
DPH1,No,ENSG00000108963
C5orf15,No,ENSG00000113583
CDX1,No,ENSG00000113722
NEK11,Yes,ENSG00000114670
SRSF4,No,ENSG00000116350
KMT2A,Yes,ENSG00000118058
PDZD11,No,ENSG00000120509
CXCR4,Yes,ENSG00000121966
PKN1,Yes,ENSG00000123143
H1-1,No,ENSG00000124610
FAM83C,No,ENSG00000125998
PNKD,No,ENSG00000127838
ACTN4,No,ENSG00000130402
UBE2M,No,ENSG00000130725
ADGRE3,No,ENSG00000131355
GSTM1,No,ENSG00000134184
GSTM3,No,ENSG00000134202
ADAM19,No,ENSG00000135074
CDK4,Yes,ENSG00000135446
MDM2,Yes,ENSG00000135679
TACO1,No,ENSG00000136463
PARP6,No,ENSG00000137817
SLC49A4,No,ENSG00000138463
TAPBPL,No,ENSG00000139192
ITGB7,Yes,ENSG00000139626
RPRD1A,No,ENSG00000141425
SCYL1,No,ENSG00000142186
TPRKB,No,ENSG00000144034
EAF1,No,ENSG00000144597
MSN,No,ENSG00000147065
EIF3M,No,ENSG00000149100
KIRREL3,No,ENSG00000149571
CACNA2D4,Yes,ENSG00000151062
SPC25,No,ENSG00000152253
DYNLT5,No,ENSG00000152760
ABI3BP,No,ENSG00000154175
PITPNC1,No,ENSG00000154217
RPL30,No,ENSG00000156482
PABIR2,No,ENSG00000156504
ZDHHC1,No,ENSG00000159714
FBXL13,No,ENSG00000161040
PRRT3,No,ENSG00000163704
AMOTL1,No,ENSG00000166025
PCLAF,No,ENSG00000166803
POLR2J3,No,ENSG00000168255
SYAP1,No,ENSG00000169895
HSD17B13,No,ENSG00000170509
SLC26A5,No,ENSG00000170615
CTU2,No,ENSG00000174177
UGT8,No,ENSG00000174607
GPR156,No,ENSG00000175697
WSCD1,No,ENSG00000179314
TMIGD1,No,ENSG00000182271
PNMA3,No,ENSG00000183837
PGBD2,No,ENSG00000185220
IFITM1,No,ENSG00000185885
LDLRAD2,No,ENSG00000187942
H3-5,No,ENSG00000188375
SYCP2,No,ENSG00000196074
PDLIM7,No,ENSG00000196923
ZNF44,No,ENSG00000197857
GPATCH3,No,ENSG00000198746
SP5,No,ENSG00000204335
SYCE1L,No,ENSG00000205078
IGKJ4,No,ENSG00000211594
CCL27,No,ENSG00000213927
KRTAP10-1,No,ENSG00000215455
PATE4,No,ENSG00000237353
C3orf85,No,ENSG00000241224
MRPL20,No,ENSG00000242485
IGKV1-27,No,ENSG00000244575
KHDC1L,No,ENSG00000256980
NFILZ,No,ENSG00000268480
KRTAP7-1,No,ENSG00000274749
HNF1B,No,ENSG00000275410
