,Protein,ENSG,UniProt,Source,Score,disease_id
55,GABRA5,ENSG00000186297,P31644,uniprot_swissprot,0.5195955965701143,MONDO_0100096
56,GABRA6,ENSG00000145863,Q16445,uniprot_swissprot,0.5172372727383147,MONDO_0100096
57,GABRB2,ENSG00000145864,P47870,uniprot_swissprot,0.5172372727383147,MONDO_0100096
58,GABRE,ENSG00000102287,P78334,uniprot_swissprot,0.5172372727383147,MONDO_0100096
59,GABRQ,ENSG00000268089,Q9UN88,uniprot_swissprot,0.5172372727383147,MONDO_0100096
60,GABRB3,ENSG00000166206,P28472,uniprot_swissprot,0.5172372727383147,MONDO_0100096
61,GABRB1,ENSG00000163288,P18505,uniprot_swissprot,0.5172372727383147,MONDO_0100096
62,GABRA4,ENSG00000109158,P48169,uniprot_swissprot,0.5172372727383147,MONDO_0100096
63,SLC6A4,ENSG00000108576,P31645,uniprot_swissprot,0.51593916663488,MONDO_0100096
64,MAP1LC3B,ENSG00000140941,Q9GZQ8,uniprot_swissprot,0.5144371920337244,MONDO_0100096
65,TBK1,ENSG00000183735,Q9UHD2,uniprot_swissprot,0.5095363625483261,MONDO_0100096
66,NR3C2,ENSG00000151623,P08235,uniprot_swissprot,0.4996110624010428,MONDO_0100096
67,HRH1,ENSG00000196639,P35367,uniprot_swissprot,0.4935122992889717,MONDO_0100096
68,DPP4,ENSG00000197635,P27487,uniprot_swissprot,0.49066239720283295,MONDO_0100096
69,PDE5A,ENSG00000138735,O76074,uniprot_swissprot,0.4902073040009218,MONDO_0100096
70,HLA-G,ENSG00000204632,P17693,uniprot_swissprot,0.48895892792429424,MONDO_0100096
71,HLA-C,ENSG00000204525,P10321,uniprot_swissprot,0.4883804155093261,MONDO_0100096
72,KCNK10,ENSG00000100433,P57789,uniprot_swissprot,0.48234104710972914,MONDO_0100096
73,HLA-E,ENSG00000204592,P13747,uniprot_swissprot,0.48221360948522907,MONDO_0100096
74,HAVCR1,ENSG00000113249,Q96D42,uniprot_swissprot,0.4814812724036791,MONDO_0100096
75,IKBKB,ENSG00000104365,O14920,uniprot_swissprot,0.4814746043368943,MONDO_0100096
76,HLA-B,ENSG00000234745,P01889,uniprot_swissprot,0.4811452941439077,MONDO_0100096
77,BECN1,ENSG00000126581,Q14457,uniprot_swissprot,0.4803583258768972,MONDO_0100096
78,KCNK3,ENSG00000171303,O14649,uniprot_swissprot,0.4800944973425022,MONDO_0100096
79,KCNK9,ENSG00000169427,Q9NPC2,uniprot_swissprot,0.47917054770579043,MONDO_0100096
80,KCNK18,ENSG00000186795,Q7Z418,uniprot_swissprot,0.47917054770579043,MONDO_0100096
81,KCNK2,ENSG00000082482,O95069,uniprot_swissprot,0.47917054770579043,MONDO_0100096
82,GLRA1,ENSG00000145888,P23415,uniprot_swissprot,0.47917054770579043,MONDO_0100096
83,NRP1,ENSG00000099250,O14786,uniprot_swissprot,0.47887499750978796,MONDO_0100096
84,STING1,ENSG00000184584,Q86WV6,uniprot_swissprot,0.47844742656383155,MONDO_0100096
85,RARA,ENSG00000131759,P10276,uniprot_swissprot,0.47822175132339423,MONDO_0100096
86,RARG,ENSG00000172819,P13631,uniprot_swissprot,0.4778059739868739,MONDO_0100096
87,RARB,ENSG00000077092,P10826,uniprot_swissprot,0.47688202435016214,MONDO_0100096
88,HLA-A,ENSG00000206503,P04439,uniprot_swissprot,0.4754934634624223,MONDO_0100096
89,IRF3,ENSG00000126456,Q14653,uniprot_swissprot,0.4696258162715167,MONDO_0100096
90,PIK3C3,ENSG00000078142,Q8NEB9,uniprot_swissprot,0.46942544556525007,MONDO_0100096
91,ISG15,ENSG00000187608,P05161,uniprot_swissprot,0.4667981344504206,MONDO_0100096
92,ST6GAL1,ENSG00000073849,P15907,uniprot_swissprot,0.46615348324897693,MONDO_0100096
93,MAVS,ENSG00000088888,Q7Z434,uniprot_swissprot,0.46586508017716594,MONDO_0100096
94,IKBKG,ENSG00000269335,Q9Y6K9,uniprot_swissprot,0.46505470532835985,MONDO_0100096
95,PIK3R4,ENSG00000196455,Q99570,uniprot_swissprot,0.4647466672660125,MONDO_0100096
96,ST3GAL4,ENSG00000110080,Q11206,uniprot_swissprot,0.46460807482050576,MONDO_0100096
97,B2M,ENSG00000166710,P61769,uniprot_swissprot,0.46449123485192356,MONDO_0100096
98,UVRAG,ENSG00000198382,Q9P2Y5,uniprot_swissprot,0.4638227176293007,MONDO_0100096
