,Protein,ENSG,UniProt,Source,Score,disease_id
145,TAB3,ENSG00000157625,Q8N5C8,uniprot_swissprot,0.37456918272294526,MONDO_0100096
146,TRIM25,ENSG00000121060,Q14258,uniprot_swissprot,0.37449028769007714,MONDO_0100096
147,CAV1,ENSG00000105974,Q03135,uniprot_swissprot,0.3740899860734876,MONDO_0100096
148,SUMO1,ENSG00000116030,P63165,uniprot_swissprot,0.37363050122258146,MONDO_0100096
149,RPS28,ENSG00000233927,P62857,uniprot_swissprot,0.3735066406407267,MONDO_0100096
150,UBA52,ENSG00000221983,P62987,uniprot_swissprot,0.37348261795017224,MONDO_0100096
151,KPNA2,ENSG00000182481,P52292,uniprot_swissprot,0.37290607337686404,MONDO_0100096
152,DDX5,ENSG00000108654,P17844,uniprot_swissprot,0.3728566934018354,MONDO_0100096
153,RPS29,ENSG00000213741,P62273,uniprot_swissprot,0.3728547428414912,MONDO_0100096
154,LAMB1,ENSG00000091136,P07942,uniprot_swissprot,0.37282931872416814,MONDO_0100096
155,MAP3K7,ENSG00000135341,O43318,uniprot_swissprot,0.3725082617277243,MONDO_0100096
156,YWHAQ,ENSG00000134308,P27348,uniprot_swissprot,0.37244409855850824,MONDO_0100096
157,PARP14,ENSG00000173193,Q460N5,uniprot_swissprot,0.37243862301041236,MONDO_0100096
158,RPS6,ENSG00000137154,P62753,uniprot_swissprot,0.37225930863116585,MONDO_0100096
159,TJP1,ENSG00000104067,Q07157,uniprot_swissprot,0.37217784707152907,MONDO_0100096
160,PARP9,ENSG00000138496,Q8IXQ6,uniprot_swissprot,0.37215715772308794,MONDO_0100096
161,TOMM70,ENSG00000154174,O94826,uniprot_swissprot,0.3720745187038235,MONDO_0100096
162,PALS1,ENSG00000072415,Q8N3R9,uniprot_swissprot,0.3720065057444545,MONDO_0100096
163,RANBP2,ENSG00000153201,P49792,uniprot_swissprot,0.37188972877648113,MONDO_0100096
164,NLRP12,ENSG00000142405,P59046,uniprot_swissprot,0.37180795923363213,MONDO_0100096
165,G3BP1,ENSG00000145907,Q13283,uniprot_swissprot,0.37180554355578377,MONDO_0100096
166,VPS18,ENSG00000104142,Q9P253,uniprot_swissprot,0.37179733381281,MONDO_0100096
167,ATG14,ENSG00000126775,Q6ZNE5,uniprot_swissprot,0.37179733381281,MONDO_0100096
168,ANO6,ENSG00000177119,Q4KMQ2,uniprot_swissprot,0.37171314859211263,MONDO_0100096
169,SRPK2,ENSG00000135250,P78362,uniprot_swissprot,0.37170493884913886,MONDO_0100096
170,RPS3,ENSG00000149273,P23396,uniprot_swissprot,0.3716998057956015,MONDO_0100096
171,SRPK1,ENSG00000096063,Q96SB4,uniprot_swissprot,0.3716998057956015,MONDO_0100096
172,ZDHHC5,ENSG00000156599,Q9C0B5,uniprot_swissprot,0.3714277539581253,MONDO_0100096
173,RPS14,ENSG00000164587,P62263,uniprot_swissprot,0.3714277539581253,MONDO_0100096
174,RPS10,ENSG00000124614,P46783,uniprot_swissprot,0.3714277539581253,MONDO_0100096
175,NUP58,ENSG00000139496,Q9BVL2,uniprot_swissprot,0.3714277539581253,MONDO_0100096
176,VHL,ENSG00000134086,P40337,uniprot_swissprot,0.3712070326560219,MONDO_0100096
177,CHMP6,ENSG00000176108,Q96FZ7,uniprot_swissprot,0.3711043715852762,MONDO_0100096
178,SFN,ENSG00000175793,P31947,uniprot_swissprot,0.37105817410344055,MONDO_0100096
179,UBE2I,ENSG00000103275,P63279,uniprot_swissprot,0.3710530410499033,MONDO_0100096
180,PDE4A,ENSG00000065989,P27815,uniprot_swissprot,0.37083904390665684,MONDO_0100096
181,MAGT1,ENSG00000102158,Q9H0U3,uniprot_swissprot,0.37082205364072535,MONDO_0100096
182,RPS24,ENSG00000138326,P62847,uniprot_swissprot,0.37073479173059143,MONDO_0100096
183,CHMP3,ENSG00000115561,Q9Y3E7,uniprot_swissprot,0.3707039934093677,MONDO_0100096
184,RPS3A,ENSG00000145425,P61247,uniprot_swissprot,0.37068859424875583,MONDO_0100096
185,CREBBP,ENSG00000005339,Q92793,uniprot_swissprot,0.3706834611952186,MONDO_0100096
186,RB1,ENSG00000139687,P06400,uniprot_swissprot,0.3705961992850847,MONDO_0100096
187,PARP10,ENSG00000178685,Q53GL7,uniprot_swissprot,0.3705961992850847,MONDO_0100096
188,DAD1,ENSG00000129562,P61803,uniprot_swissprot,0.37050380432141355,MONDO_0100096
189,UBB,ENSG00000170315,P0CG47,uniprot_swissprot,0.37050380432141355,MONDO_0100096
190,YWHAZ,ENSG00000164924,P63104,uniprot_swissprot,0.37050380432141355,MONDO_0100096
191,RPS4Y1,ENSG00000129824,P22090,uniprot_swissprot,0.37050380432141355,MONDO_0100096
192,RPS15A,ENSG00000134419,P62244,uniprot_swissprot,0.37050380432141355,MONDO_0100096
193,TAB2,ENSG00000055208,Q9NYJ8,uniprot_swissprot,0.37050380432141355,MONDO_0100096
194,RPS21,ENSG00000171858,P63220,uniprot_swissprot,0.37050380432141355,MONDO_0100096
195,PARP8,ENSG00000151883,Q8N3A8,uniprot_swissprot,0.37050380432141355,MONDO_0100096
196,PRKCSH,ENSG00000130175,P14314,uniprot_swissprot,0.37050380432141355,MONDO_0100096
197,MGAT5,ENSG00000152127,Q09328,uniprot_swissprot,0.37050380432141355,MONDO_0100096
198,MGAT4A,ENSG00000071073,Q9UM21,uniprot_swissprot,0.37050380432141355,MONDO_0100096
199,RPS27L,ENSG00000185088,Q71UM5,uniprot_swissprot,0.37050380432141355,MONDO_0100096
200,CHMP7,ENSG00000147457,Q8WUX9,uniprot_swissprot,0.37050380432141355,MONDO_0100096
201,CHMP4C,ENSG00000164695,Q96CF2,uniprot_swissprot,0.37050380432141355,MONDO_0100096
202,RPS8,ENSG00000142937,P62241,uniprot_swissprot,0.3704114093577423,MONDO_0100096
203,ANO1,ENSG00000131620,Q5XXA6,uniprot_swissprot,0.3704114093577423,MONDO_0100096
204,PRMT1,ENSG00000126457,Q99873,uniprot_swissprot,0.37031901439407117,MONDO_0100096
205,GANAB,ENSG00000089597,Q14697,uniprot_swissprot,0.37031901439407117,MONDO_0100096
206,PDPK1,ENSG00000140992,O15530,uniprot_swissprot,0.37031901439407117,MONDO_0100096
